,title,year,genre,synopsis
222,슈퍼걸,2017,드라마,재난을 막기 위해 자신의 초능력과 정체를 드러낸 카라 댄버스. 슈퍼맨의 사촌이자 슈퍼걸로 알려진 그녀가 내셔널시티의 수호자로 나선다.
223,출동! 슈퍼윙스,2017,드라마,밝고 명랑한 택배 비행기 호기. 세계 곳곳으로 잽싸게 날아가 선물도 전해주고 문제도 해결해주지요. 위험을 만나도 걱정 없어요. 멋진 변신 비행기 친구들이 있으니까요.
224,슈퍼 몬스터와 즐거운 파티,2018,드라마 NETFLIX ORIGINAL,"슈퍼 몬스터 카티아, 로보, 조이, 드라크, 클레오, 프랭키가 출연하는 뮤직비디오! 함께 노래하고 춤을 춰봐요. 몬스터 친구들이 있어 더욱 신나는 파티, 마음껏 즐겨요."
225,슈퍼 몬스터,2018,드라마 NETFLIX ORIGINAL,세계에서 가장 유명한 몬스터의 여섯 아이들이 저마다 지닌 특별한 능력을 갈고 닦아요. 우린 곧 유치원에 다닐 다 큰 몬스터니까요!
226,슈퍼 드래그 퀸,2018,드라마 NETFLIX ORIGINAL,성 소수자들을 악의 무리로부터 보호하라. 직장 동료이자 친구인 세 명의 드래그 퀸. 이들이 슈퍼히어로로 변신하면 천하무적! 성인들을 위한 거침없는 애니메이션 시리즈.
227,성균관 스캔들,2010,드라마,조선 시대의 한 소녀 가장은 대리시험 일을 맡았다가 남자만 입학할 수 있는 성균관에 남장을 하고 다니게 된다.
228,죽어도 선덜랜드,2018,드라마 NETFLIX ORIGINAL,영국 프리미어리그에서 강등된 선덜랜드 AFC. 이제 2부 리그에서 새로운 2017-18시즌을 맞는다. 부활을 위해 발버둥 치는 팀과 그 팬들을 따라가는 다큐멘터리 시리즈.
229,슈츠,2016,드라마,"뜻밖의 행운일까, 아니면 뛰어난 재능일까. 뉴욕의 거대 로펌에 들어간 대학 중퇴 청년. 엘리트 변호사와 의기투합한 그가 시시하고 따분한 세상을 상대로 소송을 건다."
230,수부라,2017,드라마 NETFLIX ORIGINAL,"2008년, 로마 근교 해변 부지를 둘러싸고 암투가 벌어진다. 조직범죄와 부패한 정치가에 바티칸까지 얽힌 승부. 누구도 승리를 장담할 수 없는 복마전의 서막이다."
231,최강 배달꾼,2017,드라마,"신속! 정확! 배달 왔어요~ 비록 흙수저여도 배짱은 금수저 못지않은 두 청춘. 부조리한 사회에 맞서 철가방 들고 싸운다. 좌절 금지, 포기 금지! 우리에겐 희망이 있으니까."
232,힘쎈 여자 도봉순,2017,드라마,선천적으로 놀라운 괴력을 타고난 봉순. 불의에 맞서고 정의를 위해 싸우는 이 의리녀에게 얽히고설킨 삼각관계가 벌어진다. 봉순은 정의도 지키고 사랑도 지킬 수 있을까.
233,스트레치 암스트롱과 슈퍼 프렌즈,2018,드라마 NETFLIX ORIGINAL,어느 순간 슈퍼히어로로 변신한 제이크 암스트롱과 그의 친구들. 이들은 초능력을 익히면 익힐수록 또래와 다른 자신들의 모습을 깨닫는다.
234,기묘한 이야기,2017,드라마 NETFLIX ORIGINAL,"인디애나주의 작은 마을에서 행방불명된 소년. 이와 함께 미스터리한 힘을 가진 소녀가 나타나고, 마을에는 기묘한 현상들이 일어나기 시작한다. 아들을 찾으려는 엄마와 마을 사람들은 이제 정부의 일급비밀 실험의 실체와 무시무시한 기묘한 현상들에 맞서야 한다."
235,비밀의 숲,2017,드라마,"공감 능력을 잃은 검사가 살인 사건을 파헤친다. 검사는 열혈 여형사의 도움을 받으며, 수사를 방해하는 부패한 정치 상황에 맞선다."
236,스트레인지 엠파이어,2015,드라마,19세기 앨버타를 배경으로 펼쳐지는 이 어두운 서부극은 마을 남자 대부분이 학살당한 뒤 살아남기 위해 싸우는 여성들의 이야기이다.
237,스티븐 유니버스,2013,드라마,"인류를 지키는 마법의 수호자들, 크리스털 젬! 막내 스티븐도 어서 빨리 자기만의 특별한 능력을 끌어내고 싶은데. 반짝이는 배꼽의 보석, 대체 어떻게 작동시키는 거지?"
238,스타트렉: 보이저,2000,드라마,75년에 걸친 보이저호의 지구 귀환 여정에서 선원들은 의문의 우주 분면에 가까이 다가가면서 미지의 종족을 만나게 된다.
239,스타트렉: 넥스트 제너레이션,1993,드라마,"원조 엔터프라이즈호 선원들의 모험이 있은 지 수십 년 후, 장 뤽 피카드 선장은 새로운 엔터프라이즈호를 이끌고 미지의 세계를 향한 탐사 임무를 시작한다."
240,스타트렉: 애니메이션,1973,드라마,"""스타 트렉"" 원작 출연진이 목소리 연기를 맡은 흥미진진한 애니메이션 시리즈. 우주선 엔터프라이즈 호는 갖가지 새로운 모험을 떠난다."
241,스타트렉: 엔터프라이즈,2004,드라마,"《스타트렉》의 프리퀄 작품으로, 우주를 탐험하는 아처 선장과 선원들이 새로운 외계 종족을 만나면서 인류의 혁신을 확장하는 다양한 기술을 발견한다."
242,스타트렉: 디스커버리,2019,드라마 NETFLIX ORIGINAL,"한 세기 만에 다시 나타난 클링온 제국. 연방 우주에 전운이 감돈다. 그 한가운데에 놓인 스타플릿 장교들, 불명예의 낙인을 씻어내고 평화를 되찾을 수 있을까."
243,스타트렉: 딥 스페이스 나인,1999,드라마,"전략적 요충지에 자리한 연방 우주정거장 딥 스페이스 나인. 긴장감 넘치는 주변 정세와 다양한 종족의 구성원 탓에 일도 많고 탈도 많은 이곳에서, 따로 또 같이 우주 평화를 일궈가는 시스코 사령관과 대원들을 만나 보자."
244,스타트렉,1968,드라마,동요하지 않는 커크 선장이 이끄는 우주선 엔터프라이즈호의 선원들은 우주 저 멀리까지 깊이 탐사하며 새로운 세계와 문명을 탐험한다.
245,브라이언 리건 쇼: 스탠드업 & 어웨이!,2018,드라마 NETFLIX ORIGINAL,"브라이언 리건, 그가 보고 말하는 모든 것은 웃음이 된다. 스탠드업 코미디와 콩트를 섞고, 관객과의 대화까지 곁들인 무대. 어디에도 없던 초유의 코미디가 시작된다."
246,집착의 살인마들,2015,드라마,"실제 범죄를 다룬 시리즈물로 헤어진 연인, 동료, 심지어 가족까지 다양한 희생자들이 스토커에게 살해당하는 장면을 생생하고도 극적으로 보여준다."
247,스파이 키드: 미션 크리티컬,2018,드라마 NETFLIX ORIGINAL,《스파이 키드》가 애니메이션으로 돌아왔다! 악의 무리 스웜프에 맞서는 주니와 카르멘 남매. 슈퍼 스파이 요원들은 도와줄 수 없다고? 괜찮아. 우린 스파이 키드니까!
248,스팟리스,2015,드라마 NETFLIX ORIGINAL,준법정신이 투철하던 범죄현장 청소업체 운영자가 무책임한 형 때문에 울며 겨자 먹기로 막강한 폭력단 두목과 같이 일하게 된다.
249,스플래시 앤 버블스: 바닷속 친구들,2018,드라마,"스플래시, 버블, 덩크, 리플은 깊은 바닷속에 살아요. 새로운 곳에도 가보고 새로운 친구도 만나면서 즐겁게 지내지요. 또 하나, 세상에 대해 궁금한 것도 아주아주 많대요."
250,스파르타쿠스,2013,드라마,투기장에서 잔혹한 죽음을 맞을 운명이었던 트라키아의 전사 스파르타쿠스. 자신의 목숨을 노리는 사형 집행자들을 모조리 물리치고 노예 검투사로 부활한다.
251,스파르타,2018,드라마,규칙도 한계도 없는 가상 현실 게임이 어두운 본능을 깨웠다. 현실로 이어진 끔찍한 사건들. 교사의 기이한 죽음은 자살인가 타살인가. 사건의 진실을 파헤치기 위해 가상 현실 세계로 발을 디딘 형사. 상상 이상의 위험이 그를 기다린다!
252,스파크,2016,드라마,"음악 천재와 함께 별똥별에 맞은 후 젊은 여성의 일상에는 새로운 활기가 찾아오지만, 별똥별의 부작용으로 그녀의 연애 전선에는 문제가 생기게 된다."
253,섬들의 바다 남태평양,2009,드라마,환상 산호섬을 비롯해 남태평양 지역 섬들의 자연사를 살펴보는 6부작 다큐멘터리 시리즈.
254,소닉 붐,2014,드라마,세상에서 가장 빠르고 파란 고슴도치 소닉. 동물 친구들과 팀을 이루어 에그맨 박사가 섬을 놀이 공원으로 바꾸지 못하도록 막아야 한다.
255,썸웨어 비트윈,2017,드라마,"오직 한 번, 연쇄 살인범이 죽인 딸을 살릴 수 있는 기회가 단 한 번 있다면? 영화 같고, 천금 같은 이 한 번의 기회가 바로 지역 방송 PD에게 주어졌는데. 엄마의 이름으로 딸을 구하기 위한 간절한 사투가 시작된다."
256,밥 잘 사주는 예쁜 누나,2018,드라마,"승호의 결혼식에서 오랜만에 다시 만난 진아와 준희. 아무렇지 않은 척, 다 잊은 척 돌아서지만, 밀려오는 추억에 가슴이 아프다. 두 사람은 서로를 잊을 수 있을까."
257,"필이 좋은 여행, 한입만!",2018,드라마 NETFLIX ORIGINAL,"《내 사랑 레이몬드》의 제작자 필 로즌솔이 맛있는 여행을 떠난다. 멕시코와 베트남, 태국 등에서 맛보는 최고의 현지 음식. 배고파서 행복하다, 더 먹을 수 있으니까!"
258,우리 사장님은 15살,2015,드라마 NETFLIX ORIGINAL,한 15세 소년이 장난감 회사의 주인이 되어 엄청나게 재미있는 장난감을 만드는 것을 도와 줄 친구들을 고용한다.
259,솔로몬의 위증,2016,드라마,학생이 죽은 채 발견된다. 진실을 요구하는 아이들과 덮으려는 어른들. 사건은 미궁에 빠지고 참다못한 학생들이 직접 재판을 연다. 왜 죽었는지 우리가 밝혀내면 되잖아요!
260,소셜 패브릭,2017,드라마,"평범한 듯 평범하지 않은 옷? 디자이너 카일과 함께 기본 패션 아이템의 아이콘과 트렌드를 따라가 본다. 뻔하다고 생각했던 옷에서 눈이 번쩍 뜨이는 경험, 보장합니다."
261,빨강머리 백설공주,2016,드라마,"사과처럼 새빨간 머리가 돋보이는 아름다운 소녀. 그러나 머리 색 탓에 왕자의 구애가 시작되자, 과감히 머리를 자르고 왕국을 탈출하는데. 안락한 궁 생활 대신 험난한 여정이 기다리지만, 그래도 괜찮아! 적어도 이 삶은 내 거니까."
262,슬래셔,2017,드라마 NETFLIX ORIGINAL,"돌아온 연쇄 살인범, 그리고 다시 시작된 선혈 낭자한 도륙의 시간. 과거와 현재가 뒤얽힌 두려움 속에 다음 희생자는 몸서리를 친다. 서로 다른 이야기에 담긴 공포의 전율."
263,스카이랜더 아카데미,2018,드라마 NETFLIX ORIGINAL,통통 튀는 개성의 스카이랜더들이 펼치는 애니메이션. 정의와 신뢰로 똘똘 뭉친 천방지축 새내기들이 악에 맞서 광대한 스카이랜드 우주를 지켜낸다.
264,스킨스,2013,드라마,고등학교 마지막 2년을 보내며 우정에 울고 웃고 연애를 꿈꾸는 10대들의 긴장감 넘치는 삶을 예리하게 포착한 시리즈물.
265,"오 마이, 시스터즈!",2018,드라마 NETFLIX ORIGINAL,병석에 누운 유명 과학자의 충격 고백. 그동안 난임 치료를 한 게 아니라 대가족을 만들었다? 아버지 때문에 줄리아는 하루아침에 변호사와 TV 스타를 자매로 맞게 된다.
266,프랭크 시나트라: 전부 아니면 무,2015,드라마,"전설적인 가수 프랭크 시나트라의 삶과 재능을 다룬 이 다큐멘터리 시리즈는 그를 추억하는 친구, 가족, 동료들의 이야기를 담고 있다."
267,까까똥꼬 시몽,2016,드라마,잠시도 심심할 틈이 없는 꼬마 토끼 시몽! 상상만 하면 세상 어디든 신나는 놀이터가 되지요. 못 말리는 장난꾸러기 같다고요? 맞아요. 하지만 마음씨도 착한 귀염둥이랍니다.
268,아파야 사는 남자,2018,드라마 NETFLIX ORIGINAL,"어쩌다 시한부 인생을 살게 된 대니얼. 청천벽력 같던 암 진단이 오진으로 판명 났지만, 거짓말을 수습할 수가 없다. 덕분에 사건 사고가 끊이질 않아 게으름뱅이는 탈출?"
269,더블 타겟,2018,드라마 NETFLIX ORIGINAL,"은둔 생활을 하던 명사수는 도움을 청하는 동료들의 간청으로 대통령의 암살을 막으려는 임무에 합류하지만, 그는 도리어 대통령 암살의 누명을 쓰고 만다."
270,쉬 울프: 잉글랜드 초대 여왕들,2012,드라마,이 다큐멘터리 시리즈는 아키텐의 엘리너부터 3명의 튜더 여왕까지 영국 역사에서 종종 주목받지 못했던 여성 군주들의 역할을 탐구한다.
271,우주의 전사 쉬라,2018,드라마 NETFLIX ORIGINAL,"호르드 병사였던 고아, 아도라. 마법의 검을 발견한 그녀는 전설적인 영웅, 쉬라로 거듭난다. 이제 에더리아를 지키기 위해, 그녀는 독립군이 되어 악당 호르드에 맞선다."
272,당신보다 그것이 좋아,2017,드라마 NETFLIX ORIGINAL,오늘도 어장관리에 눈코 뜰 새 없이 바쁜 놀라 달링. 하지만 그녀의 정체성 고민과 꿈을 향한 여정은 계속돼야 한다. 스파이크 리의 데뷔작을 리뉴얼한 신작 드라마.
273,못 말리는 어린양 숀,2014,드라마,"귀여운 사고뭉치 어린 양 숀을 소개합니다! 주인아저씨, 아기 양 티미, 양치기 개 비처, 친구 양 셜리와 함께 농장에서 보내는 시끌벅적한 하루하루. 아무도 못 말리는 숀과 동물 친구들의 신나는 일상으로 함께 들어가 볼까?"
274,샤크,2015,드라마,북극에서 열대 지방까지 다양한 지역에 서식하는 상어의 은밀한 생활을 살펴보고 상어의 놀라운 다양성과 사회성을 관찰하는 다큐멘터리 시리즈.
275,쉐임리스,2006,드라마,여덟 아이의 아빠이자 싱글남에 무직인 프랭크 갤러거는 미치지 않기 위해 살짝 술의 도움을 받는다.
276,SHAKA ZULU,1986,드라마,이 미니시리즈는 19세기 초에 아프리카에서 영토를 넓히던 대영 제국과 광대한 줄루 왕국의 지도자 샤카 사이의 충돌을 그린다.
277,섀도우 헌터스: 더 모탈 인스트루먼트,2018,드라마 NETFLIX ORIGINAL,평범한 10대 소녀 클레리 프레이는 자신이 천사의 피를 가진 악마 사냥꾼의 혈통이라는 사실을 알게 되면서 충격에 휩싸인다.
278,진실의 그늘,2016,드라마,2006년 이스라엘을 뒤흔든 13세 여아 살인 사건을 다룬 다큐멘터리. 사건의 전말과 우크라이나 이민자를 유죄 판결하게 된 경위를 살펴본다.
279,오티스의 비밀 상담소,2018,드라마 NETFLIX ORIGINAL,"소심한 소년 오티스의 대반전, 그가 아웃사이더 소녀와 함께 섹스 상담소를 연다. 성 상담사 엄마에게 귀동냥한 산지식을 모두 전수해드려요. 오티스는 절찬 상담 중!"
280,일곱 난쟁이와 나,2017,드라마,내가 백설 공주의 후손이라고? 일곱 난쟁이까지 우리 집에 찾아와 내 수호천사를 자처하다니! 좀 황당하지만 개성만점 난쟁이들과 나의 시끌벅적한 일상은 그렇게 시작됐다!
281,피어스 모건의 연쇄 살인범들,2018,드라마,미국의 가장 악명 높은 살인범들이 입을 열었다! 그들을 상대한 이는 영국 출신의 언론인 피어스 모건. 이번엔 경비가 삼엄한 교도소를 찾아가 연쇄 살인범을 인터뷰한다. 이 끔찍한 범죄자들의 정신세계를 파헤쳐 범행 동기를 알아보는 시간.
282,센스8,2018,드라마 NETFLIX ORIGINAL,어느 날 갑자기 서로의 감각과 감정을 공유하게 된 낯선 8명의 남녀. 《매트릭스》와 《바빌론 5》의 제작팀이 선보이는 본격 SF 시리즈.
283,크리켓 보이즈,2018,드라마 NETFLIX ORIGINAL,크리켓 챔피언을 꿈꾸는 라다와 만주 형제. 이들은 아버지의 가혹한 훈련과 뭄바이의 불리한 환경을 견뎌낼 수 있을까. 꿈을 향한 이들의 거침없는 질주가 시작된다.
284,SECRETS OF GREAT BRITISH CASTLES,2016,드라마,역사학자 댄 존스와 함께 영국을 대표하는 건축물과 그곳에 살았던 악명 높은 인물들의 전성기로 시간 여행을 떠나 보자.
285,마녀보감,2016,드라마,저주로 얼어붙은 공주와 선량한 의원의 만남. 자신을 옭아맨 흑마술을 풀려는 공주의 위험하고 처절한 몸부림에 의원의 삶까지 휘말려 든다.
286,밀회,2014,드라마,선재가 폭행 혐의로 철창신세를 질 처지에 놓이자 다미가 혜원에게 도움을 청한다.
287,스크림,2016,드라마 NETFLIX ORIGINAL,"클래식 공포 프랜차이즈에 대한 새로운 이 TV 시리즈 속편. 레이크우드에서의 사이버 폭력 사건은 살인으로 이어지고, 오싹한 과거가 되돌아오는 것 같은 불안감이 조성된다."
288,스콜피온,2016,드라마,신종 테러의 위협으로부터 나라를 지키기 위해 국토안보부는 슈퍼 천재와 그의 괴짜 천재 팀을 소집한다.
289,학교생활,2015,드라마,학교에서 벌어진 좀비 대란에서 유일하게 살아남은 귀여운 여고생들. 우스꽝스러운 특별활동부 활동에 즐겁게 임하며 우울한 현실을 잊는다.
290,달의 연인 - 보보경심 려,2016,드라마,"1,000년을 거슬러 고려 시대로 시간 여행을 하게 된 21세기 여인. 궁중의 암투에 휘말리고 여러 황자들의 사랑을 한몸에 받게 된다."
291,스캔들,2018,드라마,변호사지만 변호하지 않는다? 워싱턴 D.C.의 잘나가는 변호사들이 한데 모였다. 관심사는 소송이 아니라 스캔들. 누구든 의뢰하면 해결해준다. 심지어 대통령의 스캔들까지도.
292,산타클라리타 다이어트,2018,드라마 NETFLIX ORIGINAL,"부동산 중개업에 종사하는 평범한 부부. 어느 날부터 아내에게 극적인 변화가 일어나고, 평범했던 두 사람에게 이제 죽음과 파멸이 가득한 '즐거운' 나날이 펼쳐진다."
293,방랑의 미식가,2017,드라마 NETFLIX ORIGINAL,육십 평생을 직장에 치여 살아온 평범한 샐러리맨 다케시. 은퇴와 동시에 정처 없이 떠도는 무사가 되어 여태껏 누리지 못한 자유를 만끽하며 미식 방랑을 떠난다.
294,사만타 어게인!,2018,드라마 NETFLIX ORIGINAL,"80년대 아역 스타로 인기를 한 몸에 받았던 사만타. 화려한 과거를 잊지 못하는 그녀가 스포트라이트를 되찾을 길은? 좌충우돌, 변덕만발, 허당충만한 컴백계획뿐."
295,샐베이션,2018,드라마,지구를 향해 접근하는 소행성. 남은 시간은 단 186일. 다가오는 종말의 시나리오 속에서 MIT 대학원생과 기업가가 인류 생존 프로젝트에 착수한다. 그러나 인류를 위협하는 것은 소행성만이 아닌데. 세계의 운명은 어디로 향할 것인가.
296,소금. 산. 지방. 불.,2018,드라마 NETFLIX ORIGINAL,"요리사이자 작가인 사민 노스랫. 맛있는 음식의 핵심이 되는 네 가지 요소를 찾아 세계를 여행한다. 다양한 재료와 전통적인 요리법으로, 깊은 풍미를 전달하는 시리즈."
297,메이플라워의 개척자들,2015,드라마,"메이플라워호에 몸을 싣고 신대륙으로 온 청교도들. 내분과 악천후, 원주민과의 위태로운 동맹 속에서 살아남아야 한다."
298,신성한 게임,2018,드라마 NETFLIX ORIGINAL,"도망 중인 범죄 조직의 보스가 뭄바이의 경위를 거대한 음모에 끌어들인다. 믿기 힘들지만 무시할 수 없는 보스의 경고. 그 말이 사실이라면, 도시가 사라질지도 모른다."
299,소드 가이: 애니메이션,2018,드라마 NETFLIX ORIGINAL,원한으로 완성된 지옥의 검. 한 소년이 그 검과 한 몸이 된다. 잃어버린 오른팔을 대신해 저주받은 검을 휘두르는 소년 가이. 그의 검에 인류의 운명이 걸려 있다.
300,스카이캐슬,2018,드라마,"대한민국의 내로라하는 엘리트가 사는 SKY 캐슬. 누구보다 위에 올라 아래를 내려다보고 살아야 한다는 걸 한 번도 의심한 적 없는 삶은 어떨까. 겉으로는 화려하고 우아하지만, 속으로는 욕망과 시기로 가득 찬 이들의 이야기가 펼쳐진다."
301,시로바코,2015,드라마,고등학교 졸업 후 도쿄로 오게 된 다섯 명의 친구들. 애니메이션 업계에 들어가 언젠가는 멋진 작품을 함께 만들자며 다짐한다.
302,러시아 인형처럼,2019,드라마 NETFLIX ORIGINAL,그녀가 처음 죽었던 밤. 서른여섯 번째 생일 파티가 한창이었다. 이후로 끝없이 반복되는 죽음과 생일 파티. 죽었다 살아난 걸 축하하기엔 죽음이 코앞에 다가와 있다.
303,러셀 피터스 VS 더 월드,2013,드라마 NETFLIX ORIGINAL,"세계적인 코미디 슈퍼스타 러셀 피터스의 전무후무한 ""노토리어스"" 월드 투어 공연의 무대 뒷이야기를 독점 공개한 4부작 다큐멘터리 시리즈."
304,로맨스는 별책부록,2019,드라마,책을 만들었는데 로맨스가 따라왔다? 잘나가는 스타 작가이자 출판계 역사를 새로 쓴 최연소 편집장. 그가 경력단절녀가 돼버린 전직 카피라이터의 인생에 깊이 뛰어든다.
305,로마 제국,2018,드라마 NETFLIX ORIGINAL,"시대극의 단골, 로마 제국. 그중에서도 유명한 콤모두스와 카이사르, 두 강력한 통치자들의 시대가 부활한다! 화려한 볼거리와 역사적 고증을 결합한 다큐멘터리 드라마."
306,로보즈나,2018,드라마 NETFLIX ORIGINAL,용감하고 장난기 많은 소년과 그의 단짝 로봇. 로보즈나 경기에 참여해 멋지게 격투를 벌인다. 경기장 밖에서도 그들의 싸움은 이어진다. 자유를 빼앗는 악당에 맞서라!
307,로보카 폴리,2015,드라마,"브룸스타운에 사고가 날 때면 경찰차 로보카 폴리, 소방차 로이와 구조대원 친구들이 출동하니 아무 걱정 없어요!"
308,리버데일,2018,드라마 NETFLIX ORIGINAL,"평화로운 소도시 리버데일에서 살아가는 아치와 친구들이 복잡한 연애, 섹스, 학교생활과 가족사를 헤쳐나간다. 파고들수록 수렁으로 빠져드는 리버데일의 미스터리."
309,리타,2017,드라마 NETFLIX ORIGINAL,"독립적이고, 애들한테도 할 말은 하고, 그래도 사랑스러운 선생님 리타. 하지만 어른들과의 관계는? 글쎄, 썩 잘 풀리는 것만은 아니다. 덴마크에서 제작된 코미디 드라마."
310,릭 앤 모티,2017,드라마,술에 절어 사는 천재 과학자 릭은 투정이 심한 10대 손자 모티를 데리고 외계와 대체 현실로 아슬아슬한 모험을 떠난다.
311,리치 리치,2015,드라마 NETFLIX ORIGINAL,채소를 친환경 에너지로 변환시키는 데 성공한 소년 리치는 하루 아침에 거부가 되어 재미있고 모험이 가득찬 새 인생을 살기 시작한다.
312,리벤지,2015,드라마,"햄튼으로 이사 온 한 젊은 아가씨는 이웃 주민들의 마음을 사로잡지만, 속으로는 자신의 가족을 망가뜨린 그들의 파멸을 계획한다."
313,우리의 끝,2016,드라마 NETFLIX ORIGINAL,"신혼부부가 무참히 살해된다. 경찰은 두 집안의 반목에 주목하고, 얼키고설킨 어두운 비밀과 거짓이 드러나기 시작한다."
314,레시듀,2015,드라마,"기이한 폭발이 번창하는 미래의 도시를 쑥대밭으로 만든 후에, 8명의 생존자들이 그 여파와 불가사의한 영향에 휘말립니다."
315,레퀴엠,2018,드라마 NETFLIX ORIGINAL,"갑작스러운 비극이 오랜 비밀을 소환한다. 예상치 못한 가족사를 알게 된 마틸다. 그녀는 진실을 찾아 위험한 여정을 떠난다. 수십 년 전, 기이한 사건의 내막을 찾아."
316,응답하라 1997,2012,드라마,유정이 젝스키스도 좋아한다는 사실을 알게 된 시원. 배신감을 느낀 나머지 유정과 말도 하지 않는다.
317,응답하라 1994,2014,드라마,대학 농구경기를 보고 온 나정은 허리가 아파서 꼼짝도 못한다. 처음으로 미팅에 나가게 된 해태와 삼천포는 마음이 잔뜩 들떠 있다.
318,스포츠는 종교다,2016,드라마,"신, 신자, 성직자, 기적 등 종교의 모든 요소가 있는 스포츠. 스포츠가 개인과 사회에 미치는 막대한 영향과 스포츠 팬들에게 나타나는 종교와도 같은 체험을 조명했다."
319,레인,2017,드라마,성과 정치의 은밀한 관계들로 가득 찬 궁정 한가운데에서 권력을 일으켜야 하는 스코틀랜드 메리 여왕의 이야기를 담은 생생한 역사 드라마.
320,레지 예이츠: 고발 지구촌,2017,드라마,"이야깃거리를 찾아 전 세계를 찾아다니는 저명한 영화감독 레지 예이츠. 총기 폭력, 인종 차별, 동성애자 권리, 마약 중독 등 심각한 사회 문제들을 파고든다."
321,레드 VS. 블루,2015,드라마,"1인칭 슈팅 게임의 패러디물이자, 황량한 협곡 한가운데서 펼쳐지는 내전에 관한 군사 SF 영화."
322,리부트: 가디언 코드,2018,드라마 NETFLIX ORIGINAL,최신 코딩 기술을 뽐내는 네 명의 10대 청소년. 사이버 공간 속 슈퍼히어로로 변신한 그들이 비밀 임무를 수행하며 세상을 구한다.
323,리벨리언,2016,드라마 NETFLIX ORIGINAL,비극으로 끝난 1916년 더블린 부활절 봉기. 그러나 역사는 아직 끝나지 않았다. 독립과 자치를 염원하는 아일랜드 혁명가들이 영국군을 상대로 기나긴 전쟁을 시작한다.
324,롭의 사생활,2017,드라마 NETFLIX ORIGINAL,코미디언 겸 배우 롭 슈나이더의 삶을 다룬 이 코미디 시리즈는 그의 커리어와 가정생활에 얽힌 우여곡절을 유쾌하게 풀어낸다.
325,리얼 디텍티브,2017,드라마,다큐멘터리 스타일과 드라마 재연을 결합한 이 시리즈에서는 배우들이 실제 형사 역을 맡아 평생 뇌리에서 잊혀지지 않는 사건들을 회고한다.
326,질풍기획,2016,드라마,이 다크 코미디 시리즈는 광고업계의 치열한 경쟁을 헤쳐나가는 직원들의 이야기를 다룬다.
327,RE: 제로부터 시작하는 이세계 생활,2016,드라마,"분명 편의점 다녀오는 길이었는데 한순간에 낯선 세계다. 이것이 이세계 소환? 마법도 돈도 없지만, 딱 하나 신비한 능력이 생겼어. 바로 죽어서 운명의 시간을 되돌리는 것!"
328,레이 도노반,2017,드라마,레이 도노반을 찾아라! 복잡하고 끔찍한 사건에 휘말린 LA의 부호들과 스타들에게 그는 지상 최고의 해결사. 하지만 어찌 된 일인지 가족 문제 앞에서는 속수무책이다.
329,랩처: 래퍼로 살다,2018,드라마 NETFLIX ORIGINAL,모방을 경멸하라. 유행을 앞서가라. 남을 따르면 내 길이 아니다. 동시대 아티스트들이 노래하는 역동적인 힙합의 역사. 전 세계를 뒤흔든 힙합 문화의 비밀이 밝혀진다.
330,신의 퀴즈,2014,드라마,의문의 죽음을 추적하는 한국대 법의관 사무소의 전문가들. 그 과정에서 발견되는 희귀병과 다양한 사인을 파헤친다.
331,남부의 여왕,2017,드라마,"자신의 연인을 죽인 마약 카르텔의 조직원이 된 테레사. 뛰어난 상황 대처력과 충실한 친구, 낡은 수첩에 의지해 목숨을 부지하며 남부의 여왕으로 성장해 간다."
332,행복한 퍼핀 가족,2016,드라마 NETFLIX ORIGINAL,"아름다운 퍼핀 락에서의 삶은 달콤하다. 바다오리 우나와 남동생 바바, 그리고 그들의 친구들은 자연, 우정, 그리고 가족에 대해 배워 나간다."
333,사이코 패스,2014,드라마,때는 2113년. 개인의 범죄성향을 알아내기 위해 모두를 대상으로 뇌 스캔을 시행하는 세상. 범죄 가능성이 높은 이들은 체포되거나 심지어 처형되기도 한다.
334,프로젝트 MC²,2017,드라마 NETFLIX ORIGINAL,십대 소녀 스파이 맥케일라가 동급생 세 명과 팀을 이루어 과학지식을 활용하여 첩보 임무를 수행한다.
335,켄 번스: 금주법,2011,드라마,"켄 번스의 다큐멘터리는 제18차 헌법 개정 통과, 금주의 사회적 및 법적인 효과, 금주 폐지의 발자취를 추적한다."
336,슬기로운 감빵생활,2017,드라마,"메이저리그 대신 감옥으로 직행한 슈퍼스타. 판이 바뀌고 룰이 바뀐 막다른 골목, 감빵에서 살아남을 방법은 단 한 가지. 그저 배워라! 하나에서 열까지."
337,프리즌 브레이크,2017,드라마,구조 공학자인 마이클 스코필드는 누명을 썼다고 주장하는 사형수인 형의 탈옥을 계획하기 위해 자기 발로 감옥에 들어간다.
338,프린스는 교환학생,2018,드라마 NETFLIX ORIGINAL,"부로니아 왕국의 호기심 많은 에밀 왕자. 신분을 숨긴 채 평범한 청소년의 삶을 살아보고 싶다! 그와 정반대 성격인 룸메이트 소년과 함께, 즐거운 미국 생활 시작이다!"
339,국민 남편 길들이기,2018,드라마,"운명처럼 만났다가 안타까운 오해로 헤어졌던 우리. 11년이란 세월을 건너 마침내 부부의 연까지 맺지만, 사랑만큼은 절대 넘볼 수 없는 감정이다. 명심해. 이건 모두 연극이고, 우린 정해진 각본대로 움직이는 배우라는 걸."
340,프리티 리틀 라이어스,2017,드라마,리더가 사라지고 사이가 멀어졌던 네 명의 고등학교 친구들은 자신들이 과거에 저지른 실수에 대한 이상한 메일을 받고 다시 힘을 뭉친다.
