,title,year,genre,synopsis
4281,스카이캐슬,2018,드라마,"대한민국의 내로라하는 엘리트가 사는 SKY 캐슬. 누구보다 위에 올라 아래를 내려다보고 살아야 한다는 걸 한 번도 의심한 적 없는 삶은 어떨까. 겉으로는 화려하고 우아하지만, 속으로는 욕망과 시기로 가득 찬 이들의 이야기가 펼쳐진다."
4282,신세계,2013,영화,"국내 최대 범죄 조직 ‘골드문’의 후계자 선출에 개입하라! 작전 설계자 강 과장은 8년 전 조직에 심어 놓은 이자성을 조종하고, 조직 내에선 후계자 전쟁으로 칼바람이 휘몰아친다. 각자가 꿈꿨던 그들의 서로 다른 신세계는 열릴 것인가."
4283,비밀의 숲,2017,드라마,"공감 능력을 잃은 검사가 살인 사건을 파헤친다. 검사는 열혈 여형사의 도움을 받으며, 수사를 방해하는 부패한 정치 상황에 맞선다."
4284,나의 마더,2019,영화 NETFLIX ORIGINAL,"인류가 사라지면, 딸을 키워라. 그것이 로봇인 마더가 맡은 인류 재건 임무. 아기는 어느덧 소녀가 됐고, 위험한 일은 일어나지 않았다. 마더에게 시행착오란 없으니까."
4285,나의 마더,2019,영화 NETFLIX ORIGINAL,"인류가 사라지면, 딸을 키워라. 그것이 로봇인 마더가 맡은 인류 재건 임무. 아기는 어느덧 소녀가 됐고, 위험한 일은 일어나지 않았다. 마더에게 시행착오란 없으니까."
4286,타이탄,2018,드라마 NETFLIX ORIGINAL,복수에는 대가가 따른다. 정체를 숨기고 형사가 된 딕 그레이슨. 이제 그는 고담의 악몽에서 빠져나온 것인가. 의지할 곳 없는 젊은 히어로들이 딕 앞에 나타난다.
4287,산타클라리타 다이어트,2018,드라마 NETFLIX ORIGINAL,"부동산 중개업에 종사하는 평범한 부부. 어느 날부터 아내에게 극적인 변화가 일어나고, 평범했던 두 사람에게 이제 죽음과 파멸이 가득한 '즐거운' 나날이 펼쳐진다."
4288,마블 데어데블,2018,드라마 NETFLIX ORIGINAL,"어린 시절 사고로 시력을 잃었지만, 다른 감각이 초인적으로 발달한 맷 머독. 낮에는 변호사, 밤에는 슈퍼 히어로가 되어 쉼 없이 싸운다. 뉴욕의 헬스키친을 지키기 위해!"
4289,나의 마더,2019,영화 NETFLIX ORIGINAL,"인류가 사라지면, 딸을 키워라. 그것이 로봇인 마더가 맡은 인류 재건 임무. 아기는 어느덧 소녀가 됐고, 위험한 일은 일어나지 않았다. 마더에게 시행착오란 없으니까."
4290,비밀의 숲,2017,드라마,"공감 능력을 잃은 검사가 살인 사건을 파헤친다. 검사는 열혈 여형사의 도움을 받으며, 수사를 방해하는 부패한 정치 상황에 맞선다."
4291,아스달 연대기,2019,드라마,"그곳에서 모든 것이 시작됐다. 태고의 땅 아스. 권력을 향한 욕망, 새로운 사회에 대한 열망, 그리고 가슴 뛰는 사랑을 위해 치열하게 살아간 사람들이 있었다."
4292,더 셰프 쇼,2019,드라마 NETFLIX ORIGINAL,영화를 찍다가 요리에 푹 빠진 작가 겸 감독 존 패브로. 그가 유명 셰프 로이 최와 함께 요리 탐험을 떠난다. 쟁쟁한 셰프들과 스타들의 부엌을 훔쳐볼 절호의 기회라나!
4293,우리 사이 어쩌면,2019,영화 NETFLIX ORIGINAL,"유명 셰프 사샤와 무명 뮤지션 마커스. 어린 시절 친구인 이들이 15년 만에 다시 만난다. 여전히 서로에게 끌리는 두 사람. 하지만, 가까이하기엔 서로 너무 다른걸?"
4294,왓 / 이프,2019,드라마 NETFLIX ORIGINAL,돈이 없으면 꿈을 이룰 수 없다. 투자가 절실한 과학자와 그녀의 다정한 남편. 그들에게 미스터리의 여인이 거래를 제안한다. 사랑과 믿음을 담보로 걸 수 있을지 묻는다.
4295,보좌관,2019,드라마,"권력의 그늘에서 권력의 정점을 꿈꾼다. 위험한 야심을 품은 국회의원 보좌관 장태준. 이 음모와 탐욕의 세상에서, 그는 살아남을 수 있을까. 위태로운 도박이 시작된다."
4296,연애의 맛,2019,드라마,"누가 봐도 매력 만점, 그런데 왜 아직 싱글일까? 옆구리 시린 대한민국 대표 싱글남들이 새로운 도전에 나섰다. 이상형의 여성을 만나 연애의 현장에 뛰어드는 시간. 처음엔 어색한 맛, 나중엔 설레는 맛. 이것이 바로 연애의 맛."
4297,머더 미스터리,2019,영화 NETFLIX ORIGINAL,결혼하고 처음으로 떠난 유럽 여행. 뉴욕 경찰 닉과 미용사인 그의 아내 오드리는 황당한 누명을 쓴다. 요트 안에서 억만장자를 살해했다니? 이대로는 억울해서 못 살아!
4298,트링킷,2019,드라마 NETFLIX ORIGINAL,낯선 도시로 이사 온 슬픔에 잠긴 10대 소녀. 들치기 모임에서 두 친구를 만난다. 남들은 모르는 특별한 공통점을 지닌 세 사람. 이들의 파란만장한 우정이 시작된다.
4299,알타 마르: 선상의 살인자,2019,드라마 NETFLIX ORIGINAL,"1940년대 스페인, 부유한 자매가 브라질로 향하는 배에 오른다. 사랑과 성공이 기다린다고 믿었던 여행. 하지만 자매를 맞이한 건 의문의 살인과 추악한 진실뿐이다."
4300,타이탄,2018,드라마 NETFLIX ORIGINAL,복수에는 대가가 따른다. 정체를 숨기고 형사가 된 딕 그레이슨. 이제 그는 고담의 악몽에서 빠져나온 것인가. 의지할 곳 없는 젊은 히어로들이 딕 앞에 나타난다.
4301,이글레시아스 선생의 즐거운 교실,2019,드라마 NETFLIX ORIGINAL,"이렇게 웃기는 선생님은 없었다! 모교로 돌아간 교사 가브리엘 이글레시아스. 그가 역사와 함께 인생을 가르치고, 웃음을 선사하며 변화의 바람을 일으킨다."
4302,그들이 우리를 바라볼 때,2019,드라마 NETFLIX ORIGINAL,"할렘에 사는 다섯 소년이 체포된다. 편견에 사로잡힌 시선 때문에 잔인한 범죄의 용의자로 지목된 그들. 악몽 같은 현실에서 벗어나기 위한, 처절한 싸움이 시작된다."
4303,림 오브 더 월드,2019,영화 NETFLIX ORIGINAL,"외계인이 지구를 침공했다. 여름 캠프장에 고립된 네 명의 10대, 그들에게 떨어진 위험천만한 임무. 성격도 관심사도 제각각인데, 똘똘 뭉쳐서 세상을 구할 수 있으려나?"
4304,비트,2019,영화 NETFLIX ORIGINAL,"시카고의 사우스사이드에 사는 힙합 천재 오거스트. 심한 충격을 받은 후, 바깥세상과 완전히 단절하고 산다. 음악에만 몰두한 그에게 뜻밖의 인물이 다가와 손을 내민다."
4305,리틀 포레스트,2018,영화,"바쁘게 돌아가는 도시 생활에 지쳐 고향에 내려온 혜원. 초등학교 친구들과 정겨운 시간을 보내며, 단조롭지만 사계절의 순리에 맞춰 살아가는 시골 생활에 금세 익숙해진다. 인생의 긴 겨울이 지나고 나면 따스한 봄날이 찾아오겠지?"
4306,맘마미아! 2,2018,영화,"엄마가 남긴 호텔을 재개장하느라 바쁜 소피. 로지 이모, 타냐 이모와 오프닝 파티를 준비하던 중, 열정 넘쳤던 엄마의 청춘 스토리를 듣게 된다. 엄마를 더욱 이해하게 된 소피. 한여름 밤의 파티와 함께 인생의 새로운 장을 연다."
4307,3%,2019,드라마 NETFLIX ORIGINAL,"번영과 폐허, 두 세계로 철저히 양극화된 미래의 세상. 폐허의 땅에서 벗어나 번영의 땅으로 갈 3%의 엘리트로 선발될 기회는 평생 단 한 번뿐이다."
4308,감옥학원,2015,드라마,갑자기 여학교에서 남녀공학으로 바뀐 고등학교. 하지만 이곳의 다섯 남학생에게 여학생과의 접촉은 꿈에서나 가능한 일. 어느 날 여자 목욕탕을 엿보다 딱 걸린 남학생들. 이들은 이제 무시무시한 학생회의 감시 속에 감옥 생활을 해야 한다!
4309,"오, 라모나!",2019,영화 NETFLIX ORIGINAL,학교 여신 라모나를 좋아하는 소심한 소년 안드레이. 휴가에서 눈부신 소녀와 마주치면서 그의 연애 전선이 복잡해진다. 드디어 아찔한 첫 경험의 시간이 오는 것일까?
4310,신세기 에반게리온,1995,드라마,"서드 임팩트를 막아라! 대재앙 세컨드 임팩트가 발생한 지 15년 후, 사도의 습격이 시작된다. 사도를 상대할 전투 병기의 파일럿이 된 소년. 병기에 얽힌 은폐된 진실에 다가가게 되는데. 인류의 존망을 짊어진 그, 어떤 선택을 내릴지."
4311,에반게리온: 엔드 오브 에반게리온,1997,영화,인간의 적은 결국 인간이었나. 에반게리온을 차지하려는 제레가 네르프 본부에 대한 총공격을 명령한다. 인류 보완 계획의 정체가 베일을 벗는 가운데 서드 임팩트에 대한 위기 또한 고조되고. 세상의 시작과 종말의 문은 열릴 것인가.
4312,IO:라스트 온 어스,2019,영화 NETFLIX ORIGINAL,어떻게든 지구를 되살려야 한다. 생명의 흔적을 찾으려고 홀로 분투하는 젊은 과학자. 그녀에게 마지막 비행선을 타고 죽음의 대지를 벗어나려는 남자가 찾아온다.
4313,에일리언 워페어,2019,영화,미 해군 특수 부대에 일급비밀 임무가 떨어졌다. 과학자들이 사라진 연구소에서 기밀 아이템을 찾아오는 것. 하지만 그들이 맞닥뜨린 건 외계 생명체였으니. 외교적 해결책에 기대를 걸 수 없는 상황. 이제 외계 세력과의 전쟁만이 남았다.
4314,백 스트리트 걸스: 조폭 아이돌,2018,드라마 NETFLIX ORIGINAL,"아이돌계의 신성, 고쿠돌스. 귀엽고, 발랄하고, 섹시한 이들에게 한 가지 비밀이 있으니, 그것은 바로 야쿠자 조직원이라는 것! 사상 초유 형님 걸그룹의 좌충우돌 코미디."
4315,포켓몬스터 썬&문,2018,드라마,"우와, 처음 보는 포켓몬이 가득해. 엄마랑 피카츄와 함께 알로라 지방으로 여행을 간 지우. 푸른 하늘과 바다로 둘러싸인 이곳에서 포켓몬 스쿨에 입학했는데, 악의 집단 스컬단과 맞서게 된다. 새 동료도 만났겠다, 이제 배틀에 나서겠어."
4316,미니언즈,2015,영화,"《슈퍼배드》의 신 스틸러 미니언즈. 알고 보니 인류 탄생 이전부터 존재했다? 놀라운 생존력을 자랑해 온 이들에게 문제가 생겼으니, 이제 섬길 악당이 없다는 것. 새 악당 보스를 찾아 나선 미니언즈 3인조, 좌충우돌 여정을 시작한다."
4317,19곰 테드 2,2015,영화,19곰 테드가 유부남이 됐다! 사랑하는 아내와 자식을 낳고 싶은 건 인지상정. 근데 테드가 인형이라 안 된다고? 아빠가 되려면 법정에서 인간임을 증명해야 한다. 이보다 더 인간적일 수 없는 19곰. 인권도 찾고 아빠도 될 수 있을까?
4318,런던 해즈 폴른,2016,영화,영국 총리의 죽음을 애도하기 위해 런던에 모인 세계 정상. 이들을 노린 테러리스트들이 동시다발적 공격을 시작한다. 이에 미국 비밀경호국 요원이 자국 대통령의 목숨을 지키려 또 한 번 사투를 벌이는데. 《백악관 최후의 날》의 속편.
4319,미쓰 와이프,2015,영화,능력 뿜뿜 잘나가는 싱글 변호사 연우. 불의의 사고로 일찍 죽게 된 그녀에게 환생의 기회가 주어진다. 한 달 동안 애 둘 딸린 아줌마로 지내라고요? 평범한 주부의 전쟁 같은 일상. 하지만 변호사 본성이 어딜 가나? 너희들 딱 걸렸어!
